CD_GEOCMU,year,number
2900108,2014,4
2900306,2015,15
2900405,2016,1
2900801,2017,5
2900900,2017,2
2901106,2011,2
2901155,2017,1
2901205,2017,6
2901353,2017,2
2901403,2015,1
2901601,2017,1
2901809,2017,3
2902005,2017,1
2902054,2017,1
2902104,2017,3
2902252,2012,1
2902401,2011,12
2902609,2015,1
2902708,2011,1
2903003,2016,1
2903201,2017,3
2903235,2016,1
2903276,2012,3
2903300,2016,1
2903508,2015,21
2903607,2011,17
2903706,2013,1
2903805,2012,1
2903904,2017,3
2903953,2017,1
2904050,2011,1
2904100,2017,1
2904506,2017,1
2904704,2017,2
2904803,2016,4
2905008,2013,2
2905156,2017,25
2905305,2017,2
2905602,2017,17
2905701,2015,1
2906006,2013,1
2906204,2017,4
2906501,2017,7
2906808,2015,1
2906857,2015,1
2906873,2017,7
2906899,2014,1
2906907,2016,1
2907004,2013,1
2907103,2015,1
2907301,2017,22
2907400,2014,1
2907707,2017,1
2907806,2017,1
2908002,2017,3
2908101,2015,8
2908408,2017,1
2908705,2017,4
2908903,2015,1
2909000,2016,5
2909109,2017,2
2909208,2016,2
2909505,2017,3
2909604,2013,1
2910107,2017,2
2910404,2015,1
2910727,2015,2
2910750,2016,2
2910800,2017,1
2910859,2017,2
2910909,2016,1
2911006,2017,5
2911303,2017,1
2911402,2015,1
2911501,2017,10
2911600,2017,4
2911659,2017,1
2911709,2017,9
2911857,2017,1
2911907,2015,1
2912103,2017,1
2912301,2015,4
2912400,2016,1
2912509,2017,4
2912707,2017,31
2912806,2017,3
2912905,2016,2
2913002,2017,1
2913101,2012,1
2913200,2017,1
2913309,2016,2
2913457,2012,21
2913507,2015,2
2913606,2014,1
2913804,2015,4
2913903,2017,11
2914109,2015,2
2914406,2017,1
2914604,2017,14
2914703,2017,1
2914802,2016,6
2915007,2017,1
2915106,2017,3
2915403,2017,4
2915502,2016,2
2915601,2017,4
2915700,2017,2
2915809,2012,1
2916005,2017,3
2916104,2012,1
2916203,2016,2
2916302,2013,1
2916401,2017,1
2916609,2017,7
2917102,2012,3
2917300,2011,16
2917359,2014,1
2917508,2015,1
2918001,2017,2
2918357,2017,1
2918407,2016,3
2918456,2015,33
2918506,2017,1
2918555,2017,11
2918753,2012,1
2918803,2013,2
2918902,2016,18
2919108,2016,2
2919157,2015,1
2919207,2014,2
2919306,2014,150
2919405,2013,1
2919504,2013,1
2919553,2017,4
2919801,2016,2
2919926,2017,1
2919959,2016,1
2920106,2016,1
2920601,2015,2
2920700,2012,1
2920809,2017,3
2920908,2013,1
2921104,2015,1
2921203,2016,1
2921302,2015,7
2921401,2016,1
2921450,2012,1
2921500,2017,1
2922003,2016,5
2922052,2015,6
2922409,2017,1
2922706,2016,69
2922730,2011,1
2922854,2017,3
2922904,2017,6
2923001,2015,3
2923035,2015,10
2923100,2015,1
2923209,2017,1
2923308,2012,7
2923407,2011,1
2923605,2017,7
2923704,2014,1
2923803,2017,2
2923902,2011,12
2924009,2017,1
2924058,2016,1
2924207,2016,1
2924702,2012,3
2924801,2016,1
2925006,2017,6
2925105,2015,1
2925253,2016,1
2925303,2011,4
2925402,2016,9
2925501,2016,1
2925600,2013,1
2925758,2017,8
2925931,2013,1
2925956,2017,4
2926202,2015,1
2926301,2015,2
2926608,2016,1
2926905,2016,1
2927002,2016,2
2927309,2017,1
2927408,2017,30
2927606,2013,2
2927804,2017,2
2927903,2013,1
2928000,2017,1
2928059,2017,1
2928109,2011,1
2928208,2015,2
2928307,2014,1
2928406,2013,1
2928703,2017,4
2928901,2017,3
2928950,2012,2
2929008,2015,2
2929057,2017,1
2929255,2016,4
2929354,2017,1
2929370,2013,3
2929503,2017,2
2929602,2015,1
2929701,2016,2
2929750,2012,3
2930006,2017,1
2930154,2016,1
2930204,2015,1
2930501,2017,4
2930709,2017,5
2930766,2015,1
2930774,2013,1
2930808,2017,1
2930907,2016,1
2931053,2013,1
2931103,2017,1
2931301,2016,1
2931350,2015,45
2931509,2017,4
2931806,2017,1
2932200,2017,4
2932309,2017,18
2932408,2017,1
2932507,2017,1
2933000,2017,4
2933059,2016,2
2933109,2011,3
2933158,2017,1
2933174,2015,1
2933257,2017,5
2933307,2017,4
2933406,2012,1
2933455,2016,3
2933604,2014,1
