CD_GEOCMU,year,number
2900108,2007,40
2900306,2008,30
2900355,2008,3
2900405,2010,6
2900603,2007,225
2900702,2007,506
2900801,2007,1
2900900,2010,2
2901007,2010,1
2901106,2010,1
2901155,2010,1
2901304,2007,6
2901353,2007,1
2901809,2007,34
2901908,2008,15
2901957,2007,173
2902054,2009,4
2902203,2007,127
2902252,2008,3
2902302,2007,77
2902401,2010,32
2902500,2010,1
2902609,2007,2
2902807,2007,118
2903003,2010,4
2903102,2008,114
2903201,2010,12
2903235,2009,1
2903276,2010,2
2903300,2010,3
2903409,2008,50
2903508,2010,3
2903607,2010,6
2903706,2007,194
2903904,2009,1
2903953,2010,4
2904001,2008,1
2904050,2010,3
2904506,2009,1
2904605,2007,40
2904704,2010,1
2904803,2010,3
2904852,2007,193
2904902,2007,557
2905008,2007,4
2905156,2010,1
2905206,2010,21
2905305,2009,1
2905602,2010,52
2905701,2007,86
2905800,2007,1
2906006,2007,91
2906204,2010,1
2906303,2007,93
2906501,2007,164
2906709,2007,237
2906824,2010,1
2906873,2010,1
2906899,2007,6
2906907,2008,2
2907004,2008,11
2907301,2007,285
2907400,2010,2
2907509,2007,121
2907905,2007,31
2908002,2010,28
2908200,2007,54
2908309,2007,135
2908408,2008,1
2908507,2007,22
2908606,2007,54
2908705,2007,23
2908804,2009,2
2909208,2010,1
2909307,2009,2
2909406,2007,1
2909505,2007,110
2909604,2007,2
2909703,2007,31
2909802,2007,289
2910057,2007,124
2910107,2010,2
2910206,2007,108
2910305,2007,7
2910404,2008,26
2910503,2008,182
2910602,2007,92
2910727,2007,52
2910750,2008,1
2910800,2010,1
2910859,2008,1
2910909,2009,2
2911006,2010,2
2911105,2010,1
2911204,2008,60
2911253,2008,1
2911402,2009,1
2911501,2010,5
2911600,2007,85
2911709,2010,8
2911808,2008,20
2911857,2008,1
2911907,2007,6
2912004,2007,4
2912103,2010,1
2912202,2007,43
2912301,2008,1
2912707,2010,22
2912806,2009,4
2912905,2010,55
2913408,2010,1
2913457,2010,2
2913507,2009,1
2913705,2007,180
2913903,2007,169
2914000,2009,7
2914307,2007,15
2914406,2007,2
2914604,2010,14
2914653,2007,181
2914703,2009,1
2914802,2010,9
2914901,2009,1
2915007,2010,1
2915106,2010,3
2915205,2007,89
2915304,2007,6
2915403,2010,1
2915502,2010,13
2915601,2010,3
2915700,2007,54
2915809,2010,1
2915908,2007,8
2916005,2010,1
2916104,2007,48
2916203,2010,1
2916302,2008,5
2916401,2007,453
2916500,2007,66
2916609,2010,4
2916856,2007,67
2917003,2008,8
2917102,2009,10
2917201,2007,222
2917300,2007,126
2917334,2008,1
2917409,2010,7
2917607,2008,2
2917706,2008,2
2917805,2007,121
2917904,2007,4
2918001,2008,10
2918308,2007,50
2918357,2009,1
2918407,2010,1
2918456,2010,9
2918555,2010,18
2918605,2008,1
2918704,2007,44
2918753,2007,6
2918803,2009,4
2918902,2007,3
2919009,2008,2
2919058,2008,7
2919157,2008,1
2919207,2008,49
2919306,2010,1
2919405,2007,7
2919504,2009,2
2919553,2010,20
2919603,2007,4
2919702,2007,2
2919926,2010,1
2919959,2008,2
2920007,2009,1
2920106,2007,4
2920502,2007,2
2920601,2007,23
2920700,2008,2
2920908,2010,1
2921005,2007,4
2921054,2010,2
2921104,2010,5
2921203,2008,1
2921302,2010,5
2921807,2008,30
2921906,2007,29
2922003,2010,6
2922052,2010,2
2922102,2008,1
2922201,2008,5
2922300,2007,148
2922508,2007,1024
2922656,2010,1
2922706,2008,7
2922755,2007,8
2922854,2007,2
2922904,2010,9
2923001,2007,1
2923100,2010,32
2923308,2007,17
2923407,2010,1
2923506,2008,1
2923605,2007,2
2923803,2010,16
2923902,2010,40
2924009,2010,1
2924058,2010,2
2924108,2007,73
2924306,2007,2
2924603,2007,102
2924652,2010,1
2924678,2007,4
2924702,2010,52
2924801,2007,6
2924900,2009,9
2925006,2010,1
2925105,2007,568
2925204,2007,78
2925303,2010,1
2925402,2010,1
2925600,2010,1
2925758,2007,123
2925956,2007,3
2926103,2007,1
2926202,2009,1
2926301,2010,2
2926400,2010,1
2926509,2007,73
2926608,2010,8
2926707,2007,17
2926806,2010,2
2926905,2010,8
2927002,2007,70
2927309,2007,1
2927408,2010,19
2927705,2007,11
2927804,2009,1
2927903,2008,52
2928000,2010,1
2928059,2010,23
2928109,2007,201
2928208,2008,1
2928406,2009,1
2928505,2007,1
2928604,2009,1
2928703,2008,157
2928901,2010,10
2928950,2009,1
2929008,2007,101
2929057,2009,3
2929107,2007,331
2929206,2007,186
2929255,2009,1
2929354,2010,9
2929404,2008,2
2929503,2008,5
2929602,2008,111
2929701,2010,12
2929750,2010,1
2929800,2007,44
2929909,2007,6
2930105,2007,1
2930154,2009,1
2930204,2009,1
2930501,2008,1
2930709,2007,298
2931004,2007,89
2931053,2010,1
2931202,2007,24
2931301,2008,4
2931350,2010,12
2931509,2010,1
2931608,2007,80
2931707,2007,2
2931806,2007,1
2931905,2007,21
2932002,2008,1
2932309,2010,6
2932408,2010,5
2932507,2010,22
2932705,2010,8
2932903,2008,181
2933000,2009,1
2933059,2009,1
2933109,2010,4
2933174,2007,201
2933208,2009,1
2933257,2009,1
2933307,2008,1
2933406,2007,17
2933505,2007,63
2933604,2009,1
