Id,COD UF,UF,REGIAO,COD 6num,CD_GEOCMU,NM_MUNICIP,biome,year,seq,number,pop,rate,rate_n,analf,san,pob,vuln,rural,migr,ab,med,esf,tmi,temp,prec,ndvi,ndwi
BA-2010,29,BA,NE,290010,2900108,Abaíra,2,2010,1828,3,8316,36.1,36.1,19.45 ,8.0 ,31.23,2.9,55,5,8,5,0,28.1,29.69971667,887.5693694,0.587537957,0.28355078
BA-2010,29,BA,NE,290020,2900207,Abaré,2,2010,1829,4,17064,23.4,23.4,26.85 ,21.8 ,46.3,11.2,47,16,11,10,,22.9,35.23539348,415.8702222,0.399606759,0.066341878
BA-2010,29,BA,NE,290030,2900306,Acajutiba,2,2010,1830,7,14653,47.8,47.8,22.3 ,17.4 ,47.76,11.1,13,5,10,10,3,32.6,31.47327354,1119.300469,0.66703366,0.456713521
BA-2010,29,BA,NE,290035,2900355,Adustina,2,2010,1831,1,15702,6.4,6.4,35.53 ,44.2 ,49.43,29.7,65,6,9,5,0,33.7,35.80216904,634.415558,0.516611203,0.247216657
BA-2010,29,BA,NE,290040,2900405,Água Fria,2,2010,1832,30,15731,190.7,190.7,27.26 ,42.8 ,48.75,17.5,63,1,8,9,1,28,32.18101193,815.6895726,0.595764042,0.323105528
BA-2010,29,BA,NE,290050,2900504,Érico Cardoso,2,2010,1833,1,10859,9.2,9.2,30.27 ,22.6 ,24.5,17.0,81,2,8,6,0,26,29.37514928,717.3188122,0.575165417,0.286133489
BA-2010,29,BA,NE,290060,2900603,Aiquara,4,2010,1834,7,4602,152.1,152.1,23.76 ,28.7 ,20.04,11.0,42,2,3,6,1,30.6,29.20850095,826.2989314,0.756302028,0.574999737
BA-2010,29,BA,NE,290070,2900702,Alagoinhas,4,2010,1835,6,141949,4.2,4.2,10.16 ,4.1 ,31.09,2.1,13,4,139,200,1,21.84,32.02619793,1296.515666,0.684436719,0.482963995
BA-2010,29,BA,NE,290080,2900801,Alcobaça,4,2010,1836,12,21271,56.4,56.4,23.59 ,33.0 ,33.81,14.8,48,12,17,18,1,23.6,29.15619776,1284.431789,0.72066585,0.553036232
BA-2010,29,BA,NE,290090,2900900,Almadina,4,2010,1837,0,6357,0.0,0.0,31.82 ,16.3 ,29.42,6.1,20,4,2,,0,27.2,28.32937621,1054.406467,0.769651404,0.589368649
BA-2010,29,BA,NE,290100,2901007,Amargosa,4,2010,1838,44,34351,128.1,128.1,20.85 ,15.9 ,27.17,8.1,28,2,18,39,0,18.1,31.30018861,905.0422428,0.634901829,0.428128241
BA-2010,29,BA,NE,290110,2901106,Amélia Rodrigues,4,2010,1839,4,25190,15.9,15.9,13.22 ,11.0 ,50.37,4.2,21,4,15,14,,17.7,31.2832136,1429.85534,0.689349052,0.493002002
BA-2010,29,BA,NE,290115,2901155,América Dourada,2,2010,1840,248,15961,1553.8,1553.8,27.53 ,17.7 ,36.59,8.0,32,7,12,9,5,27.2,36.4309015,521.3497097,0.386129346,0.042379854
BA-2010,29,BA,NE,290120,2901205,Anagé,2,2010,1841,0,25516,0.0,0.0,33.87 ,63.7 ,51.18,33.0,81,4,9,12,4,23.7,32.58761648,616.2077725,0.489985703,0.196266358
