Id,COD UF,UF,REGIAO,COD 6num,CD_GEOCMU,NM_MUNICIP,biome,year,seq,number,pop,rate,rate_n,analf,san,pob,vuln,rural,migr,ab,med,esf,tmi,temp,prec,ndvi,ndwi
BA-2010,29,BA,NE,290010,2900108,Abaíra,2,2010,1828,3,8316,36.1,36.1,19.45,8,31.23,2.9,55,5,8,5,0,28.1,29.69971667,887.5693694,0.587537957,0.28355078
BA-2007,29,BA,NE,290020,2900207,Abaré,2,2007,1829,1,15514,6.4,6.4,33.06,48,60.67,38.3,59,9,8,9,,47.63,36.48672241,376.9883473,0.353689375,0.012400202
BA-2008,29,BA,NE,290020,2900207,Abaré,2,2008,1829,8,18362,43.6,43.6,33.06,48,60.67,38.3,59,9,9,8,,47.63,35.99475315,534.1860001,0.377055207,0.056857806
BA-2009,29,BA,NE,290020,2900207,Abaré,2,2009,1829,5,18830,26.6,26.6,33.06,48,60.67,38.3,59,9,10,10,,47.63,36.4138463,545.4183119,0.428093585,0.112965293
BA-2010,29,BA,NE,290020,2900207,Abaré,2,2010,1829,4,17064,23.4,23.4,26.85,21.8,46.3,11.2,47,16,11,10,,22.9,35.23539348,415.8702222,0.399606759,0.066341878
BA-2007,29,BA,NE,290030,2900306,Acajutiba,2,2007,1830,1,15533,6.4,6.4,30.38,37.3,62.4,30.3,15,6,6,7,3,58.09,30.28562212,1084.882334,0.672876496,0.477264154
BA-2008,29,BA,NE,290030,2900306,Acajutiba,2,2008,1830,3,15123,19.8,19.8,30.38,37.3,62.4,30.3,15,6,6,5,3,58.09,34.77426879,1122.653386,0.633759561,0.415876934
BA-2009,29,BA,NE,290030,2900306,Acajutiba,2,2009,1830,7,15192,46.1,46.1,30.38,37.3,62.4,30.3,15,6,7,8,2,58.09,33.21469022,1176.303529,0.647806447,0.427629652
BA-2010,29,BA,NE,290030,2900306,Acajutiba,2,2010,1830,7,14653,47.8,47.8,22.3,17.4,47.76,11.1,13,5,10,10,3,32.6,31.47327354,1119.300469,0.66703366,0.456713521
BA-2007,29,BA,NE,290035,2900355,Adustina,2,2007,1831,5,14812,33.8,33.8,45.5,66.2,58.88,57.3,69,7,4,5,3,61.33,37.73268419,648.895805,0.466123516,0.186145091
BA-2008,29,BA,NE,290035,2900355,Adustina,2,2008,1831,14,15354,91.2,91.2,45.5,66.2,58.88,57.3,69,7,4,6,3,61.33,37.8471711,604.7212013,0.431920848,0.146031606
BA-2009,29,BA,NE,290035,2900355,Adustina,2,2009,1831,233,15444,1508.7,1508.7,45.5,66.2,58.88,57.3,69,7,4,6,3,61.33,34.98048555,652.6095024,0.476181863,0.21265683
BA-2010,29,BA,NE,290035,2900355,Adustina,2,2010,1831,1,15702,6.4,6.4,35.53,44.2,49.43,29.7,65,6,9,5,0,33.7,35.80216904,634.415558,0.516611203,0.247216657
BA-2008,29,BA,NE,290040,2900405,Água Fria,2,2008,1832,6,15284,39.3,39.3,40,50.2,71.85,37.6,71,1,7,9,3,50.89,33.09669982,703.016595,0.556249766,0.265231645
BA-2009,29,BA,NE,290040,2900405,Água Fria,2,2009,1832,18,15334,117.4,117.4,40,50.2,71.85,37.6,71,1,8,8,1,50.89,35.71446981,658.1343048,0.561601466,0.274879305
BA-2010,29,BA,NE,290040,2900405,Água Fria,2,2010,1832,30,15731,190.7,190.7,27.26,42.8,48.75,17.5,63,1,8,9,1,28,32.18101193,815.6895726,0.595764042,0.323105528
BA-2008,29,BA,NE,290050,2900504,Érico Cardoso,2,2008,1833,2,10809,18.5,18.5,44.87,40.4,59.08,38.6,89,1,5,7,3,41.62,28.98416831,809.1136549,0.575187893,0.273414564
BA-2009,29,BA,NE,290050,2900504,Érico Cardoso,2,2009,1833,3,10718,28,28,44.87,40.4,59.08,38.6,89,1,7,6,1,41.62,28.92679674,793.0932726,0.606928303,0.309714701
BA-2010,29,BA,NE,290050,2900504,Érico Cardoso,2,2010,1833,1,10859,9.2,9.2,30.27,22.6,24.5,17,81,2,8,6,0,26,29.37514928,717.3188122,0.575165417,0.286133489
BA-2007,29,BA,NE,290060,2900603,Aiquara,4,2007,1834,8,4215,189.8,189.8,32.64,42.5,37.48,27.8,49,2,3,7,1,50.83,27.67505456,1105.496743,0.792316192,0.62964619
BA-2008,29,BA,NE,290060,2900603,Aiquara,4,2008,1834,18,5361,335.8,335.8,32.64,42.5,37.48,27.8,49,2,3,6,1,50.83,29.07993392,850.6891544,0.746685767,0.570756368
BA-2009,29,BA,NE,290060,2900603,Aiquara,4,2009,1834,23,5366,428.6,428.6,32.64,42.5,37.48,27.8,49,2,3,6,1,50.83,28.26571945,881.2112382,0.776416584,0.609649488
BA-2010,29,BA,NE,290060,2900603,Aiquara,4,2010,1834,7,4602,152.1,152.1,23.76,28.7,20.04,11,42,2,3,6,1,30.6,29.20850095,826.2989314,0.756302028,0.574999737
BA-2006,29,BA,NE,290070,2900702,Alagoinhas,4,2006,1835,1,139853,0.7,0.7,14.29,11.5,44.01,8.5,14,4,140,180,,41.13,29.24829278,1293.22297,0.656470891,0.445532186
BA-2007,29,BA,NE,290070,2900702,Alagoinhas,4,2007,1835,15,141290,10.6,10.6,14.29,11.5,44.01,8.5,14,4,130,168,1,41.13,31.71073534,1059.523346,0.674634854,0.475069134
BA-2008,29,BA,NE,290070,2900702,Alagoinhas,4,2008,1835,34,137202,24.8,24.8,14.29,11.5,44.01,8.5,14,4,136,157,0,41.13,31.16317643,1140.59615,0.666263245,0.461032394
BA-2009,29,BA,NE,290070,2900702,Alagoinhas,4,2009,1835,15,137807,10.9,10.9,14.29,11.5,44.01,8.5,14,4,139,165,0,41.13,32.25810535,1362.296838,0.669024153,0.462615355
BA-2010,29,BA,NE,290070,2900702,Alagoinhas,4,2010,1835,6,141949,4.2,4.2,10.16,4.1,31.09,2.1,13,4,139,200,1,21.84,32.02619793,1296.515666,0.684436719,0.482963995
BA-2007,29,BA,NE,290080,2900801,Alcobaça,4,2007,1836,6,24903,24.1,24.1,30.31,43.5,64.58,27.1,64,12,16,14,2,50.02,29.90156478,1054.059409,0.707518014,0.532815736
BA-2008,29,BA,NE,290080,2900801,Alcobaça,4,2008,1836,56,20320,275.6,275.6,30.31,43.5,64.58,27.1,64,12,16,16,1,50.02,29.54781942,1178.432675,0.706738363,0.526899234
BA-2009,29,BA,NE,290080,2900801,Alcobaça,4,2009,1836,24,20242,118.6,118.6,30.31,43.5,64.58,27.1,64,12,15,18,1,50.02,28.48578226,1265.351706,0.741999463,0.5903397
BA-2010,29,BA,NE,290080,2900801,Alcobaça,4,2010,1836,12,21271,56.4,56.4,23.59,33,33.81,14.8,48,12,17,18,1,23.6,29.15619776,1284.431789,0.72066585,0.553036232
BA-2007,29,BA,NE,290090,2900900,Almadina,4,2007,1837,6,6046,99.2,99.2,34.62,25.9,46.63,18.4,31,4,4,,0,44.35,26.3784304,1390.221969,0.78420402,0.61088029
BA-2008,29,BA,NE,290090,2900900,Almadina,4,2008,1837,4,6742,59.3,59.3,34.62,25.9,46.63,18.4,31,4,4,1,0,44.35,27.35106287,1019.102925,0.74232019,0.546840296
BA-2009,29,BA,NE,290090,2900900,Almadina,4,2009,1837,9,6619,136,136,34.62,25.9,46.63,18.4,31,4,4,1,0,44.35,27.15748576,1094.959898,0.776192307,0.595698682
BA-2009,29,BA,NE,290100,2901007,Amargosa,4,2009,1838,1,35268,2.8,2.8,28.02,25.5,44.97,20.2,33,2,17,38,0,42.54,32.25228769,978.5086137,0.647267209,0.444565723
BA-2010,29,BA,NE,290100,2901007,Amargosa,4,2010,1838,44,34351,128.1,128.1,20.85,15.9,27.17,8.1,28,2,18,39,0,18.1,31.30018861,905.0422428,0.634901829,0.428128241
BA-2006,29,BA,NE,290110,2901106,Amélia Rodrigues,4,2006,1839,1,25135,4,4,17,19.5,67.64,11.6,21,2,10,11,,41.04,28.51859026,1521.950873,0.687069282,0.495440355
BA-2007,29,BA,NE,290110,2901106,Amélia Rodrigues,4,2007,1839,1,25281,4,4,17,19.5,67.64,11.6,21,2,13,13,,41.04,30.66030805,1105.674596,0.697452179,0.521951155
BA-2008,29,BA,NE,290110,2901106,Amélia Rodrigues,4,2008,1839,4,24192,16.5,16.5,17,19.5,67.64,11.6,21,2,12,12,,41.04,31.43532583,1202.711623,0.68587889,0.499398776
BA-2009,29,BA,NE,290110,2901106,Amélia Rodrigues,4,2009,1839,1,24432,4.1,4.1,17,19.5,67.64,11.6,21,2,15,14,,41.04,33.57323022,1481.50237,0.681620117,0.494447979
BA-2010,29,BA,NE,290110,2901106,Amélia Rodrigues,4,2010,1839,4,25190,15.9,15.9,13.22,11,50.37,4.2,21,4,15,14,,17.7,31.2832136,1429.85534,0.689349052,0.493002002
BA-2007,29,BA,NE,290115,2901155,América Dourada,2,2007,1840,3,15958,18.8,18.8,31.12,24.6,66.03,19.9,36,8,11,5,4,53.16,36.14225564,448.3335981,0.400211654,0.06335135
BA-2008,29,BA,NE,290115,2901155,América Dourada,2,2008,1840,26,16723,155.5,155.5,31.12,24.6,66.03,19.9,36,8,11,6,4,53.16,37.46453566,402.4292799,0.355044313,0.008651619
