CD_GEOCMU, year,number,rate
2900108,2007,40,428.82
2900306,2007,64,412.03
2900306,2008,30,198.37
2900355,2007,1,6.75
2900355,2008,3,19.54
2900405,2007,25,164.4
2900405,2008,9,58.89
2900405,2009,14,91.3
2900405,2010,6,38.14
2900603,2007,225,5338.08
2900702,2006,8,5.72
2900702,2007,506,358.13
2900801,2007,1,4.02
2900900,2007,5,82.7
2900900,2008,1,14.83
2900900,2009,2,30.22
2900900,2010,2,31.46
2901007,2006,2,5.99
2901007,2010,1,2.91
2901106,2007,53,209.64
2901106,2010,2,7.94
2901155,2008,4,23.92
2901155,2009,2,11.91
2901155,2010,1,6.27
2901205,2006,9,38.61
2901304,2007,6,44.28
2901353,2006,2,13.57
2901353,2007,1,6.85
2901809,2006,1,15.41
2901809,2007,34,565.54
2901908,2007,53,300.5
2901908,2008,9,48.47
2901957,2006,16,234.29
2901957,2007,173,2567.15
2902054,2006,3,23.9
2902054,2007,40,313.06
2902054,2008,28,231.25
2902054,2009,4,32.77
2902203,2006,4,38.25
2902203,2007,127,1194.39
2902252,2000,1,8.91
2902252,2006,3,31.71
2902252,2007,81,880.34
2902252,2008,3,27.31
2902302,2003,1,11.69
2902302,2005,1,11.44
2902302,2006,30,340.79
2902302,2007,77,868.88
2902401,2007,1,5.45
2902401,2008,8,54.95
2902401,2009,46,322.13
2902401,2010,29,213.31
2902500,2007,5,46.35
2902500,2010,1,7.22
2902609,2007,2,10.29
2902807,2002,1,3.85
2902807,2006,14,47.05
2902807,2007,118,386.44
2903003,2007,11,81.31
2903003,2008,14,96.83
2903003,2009,3,20.75
2903003,2010,4,28.6
2903102,2006,25,363.37
2903102,2007,121,1805.7
2903102,2008,114,1877.78
2903201,2000,1,0.76
2903201,2004,1,0.79
2903201,2006,12,8.69
2903201,2007,52,36.68
2903201,2008,7,5.16
2903201,2009,4,2.9
2903201,2010,12,8.73
2903235,2009,1,7.05
2903276,2008,1,7.29
2903276,2009,1,7.21
2903276,2010,1,7.05
2903300,2006,1,14.03
2903300,2007,20,289.56
2903300,2008,8,120.74
2903300,2009,2,31.19
2903300,2010,3,46.49
2903409,2005,1,5.33
2903409,2007,35,191.18
2903409,2008,38,170.13
2903508,2006,1,4.97
2903508,2007,1,4.88
2903508,2009,2,13.17
2903508,2010,1,6.24
2903607,2007,1,6.83
2903607,2009,2,14.03
2903607,2010,6,40.44
2903706,2006,16,62.15
2903706,2007,194,731.69
2903904,2001,1,1.82
2903904,2009,1,1.51
2903953,2007,2,18.64
2903953,2009,1,9.46
2903953,2010,4,39.55
2904001,2006,5,43.15
2904001,2007,15,130.91
2904001,2008,1,7.28
2904308,2006,1,5.87
2904506,2009,1,9.14
2904605,2007,40,61.09
2904704,2007,13,73.63
2904704,2008,2,9.67
2904704,2009,3,14.4
2904704,2010,1,5.37
2904803,2007,3,14.69
2904803,2010,3,26.27
2904852,2007,193,1176.11
2904902,2001,1,3.27
2904902,2006,17,53.14
2904902,2007,557,1728.85
2905008,2007,4,17.8
2905156,2010,1,7.33
2905206,2006,2,4.12
2905206,2007,102,207.8
2905206,2008,7,14.65
2905206,2009,42,87.49
2905206,2010,21,44.2
2905305,2006,1,5.86
2905305,2008,2,11.04
2905305,2009,1,5.46
2905602,2005,1,3.66
2905602,2006,9,33.78
2905602,2007,83,319.28
2905602,2008,59,189.51
2905602,2009,49,157.49
2905602,2010,51,162.05
2905701,2006,1,0.51
2905701,2007,86,42.47
2905800,2007,1,2.91
2906006,2006,2,3.24
2906006,2007,91,147.23
2906204,2001,1,4.61
2906204,2007,4,18.42
2906204,2008,3,11.74
2906204,2009,1,3.86
2906204,2010,1,4.16
2906303,2006,43,116.14
2906303,2007,93,249.5
2906501,2006,4,4.8
2906501,2007,164,194.59
2906709,2005,2,6.33
2906709,2006,94,292.18
2906709,2007,237,724.57
2906873,2010,1,3.76
2906899,2007,6,68.86
2906907,2008,2,9.11
2907004,2007,9,95.54
2907004,2008,8,93.35
2907301,2001,1,3.98
2907301,2006,9,36.49
2907301,2007,285,1161.46
2907400,2006,6,202.84
2907400,2007,37,1262.37
2907400,2010,2,76.57
2907509,2006,93,189.13
2907509,2007,121,244.34
2907608,2000,1,5.96
2907905,2006,24,152.16
2907905,2007,31,193.77
2908002,2006,3,11.77
2908002,2007,62,246.73
2908002,2008,35,153.43
2908002,2009,33,148.17
2908002,2010,29,138.33
2908200,2006,9,48.43
2908200,2007,54,288.22
2908309,2006,8,41.7
2908309,2007,135,701.99
2908408,2007,2,3.35
