Id,COD UF,UF,REGIAO,COD 6num,CD_GEOCMU,NM_MUNICIP,biome,year,seq,number,pop,rate,rate_n,analf,san,pob,vuln,rural,migr,ab,med,esf,tmi,temp,prec,ndvi,ndwi
BA-2000,29,BA,NE,290010,2900108,Abaíra,2,2000,1828,0,9067,0.0,0.0,23.89 ,11.4 ,48.6,3.4,61,4,,,,32.89,30.00343938,1029.511949,0.560099091,0.235300003
BA-2001,29,BA,NE,290010,2900108,Abaíra,2,2001,1828,0,9117,0.0,0.0,23.89 ,11.4 ,48.6,3.4,61,4,,,,32.89,30.74078373,611.0627348,0.585107937,0.262931905
BA-2002,29,BA,NE,290010,2900108,Abaíra,2,2002,1828,0,9133,0.0,0.0,23.89 ,11.4 ,48.6,3.4,61,4,,,,32.89,29.45452634,1090.044028,0.587852047,0.265323982
BA-2003,29,BA,NE,290010,2900108,Abaíra,2,2003,1828,0,9163,0.0,0.0,23.89 ,11.4 ,48.6,3.4,61,4,,,,32.89,30.18310551,708.5378166,0.56597721,0.241398769
BA-2004,29,BA,NE,290010,2900108,Abaíra,2,2004,1828,0,9195,0.0,0.0,23.89 ,11.4 ,48.6,3.4,61,4,,,,32.89,29.22278296,1328.633918,0.621894149,0.327506426
BA-2005,29,BA,NE,290010,2900108,Abaíra,2,2005,1828,0,9262,0.0,0.0,23.89 ,11.4 ,48.6,3.4,61,4,6,3,,32.89,28.73854001,952.9359558,0.624403737,0.326320671
BA-2006,29,BA,NE,290010,2900108,Abaíra,2,2006,1828,0,9300,0.0,0.0,23.89 ,11.4 ,48.6,3.4,61,4,8,4,,32.89,27.72145204,1265.071001,0.664810113,0.383931373
BA-2007,29,BA,NE,290010,2900108,Abaíra,2,2007,1828,0,9328,0.0,0.0,23.89 ,11.4 ,48.6,3.4,61,4,8,4,0,32.89,29.62857692,800.1235473,0.580130662,0.266180726
BA-2008,29,BA,NE,290010,2900108,Abaíra,2,2008,1828,0,8851,0.0,0.0,23.89 ,11.4 ,48.6,3.4,61,4,5,4,0,32.89,29.53047006,1002.553201,0.584002762,0.268568402
BA-2009,29,BA,NE,290010,2900108,Abaíra,2,2009,1828,0,8823,0.0,0.0,23.89 ,11.4 ,48.6,3.4,61,4,8,4,1,32.89,29.06705749,1001.218339,0.646877579,0.351451934
BA-2010,29,BA,NE,290010,2900108,Abaíra,2,2010,1828,3,8316,36.1,36.1,19.45 ,8.0 ,31.23,2.9,55,5,8,5,0,28.1,29.69971667,887.5693694,0.587537957,0.28355078
BA-2000,29,BA,NE,290020,2900207,Abaré,2,2000,1829,0,13648,0.0,0.0,33.06 ,48.0 ,60.67,38.3,59,9,,,,47.63,36.25322834,579.599479,0.365469824,0.189712114
BA-2001,29,BA,NE,290020,2900207,Abaré,2,2001,1829,0,13894,0.0,0.0,33.06 ,48.0 ,60.67,38.3,59,9,,,,47.63,37.32837533,320.9184471,0.336417661,0.008078204
BA-2002,29,BA,NE,290020,2900207,Abaré,2,2002,1829,0,14110,0.0,0.0,33.06 ,48.0 ,60.67,38.3,59,9,,,,47.63,36.57839487,518.994622,0.3683023,0.043783865
BA-2003,29,BA,NE,290020,2900207,Abaré,2,2003,1829,0,14325,0.0,0.0,33.06 ,48.0 ,60.67,38.3,59,9,,,,47.63,35.66290999,379.2386983,0.366992974,0.06965087
BA-2004,29,BA,NE,290020,2900207,Abaré,2,2004,1829,0,14541,0.0,0.0,33.06 ,48.0 ,60.67,38.3,59,9,,,,47.63,34.7767601,714.5873762,0.398813099,0.105307226
BA-2005,29,BA,NE,290020,2900207,Abaré,2,2005,1829,0,15026,0.0,0.0,33.06 ,48.0 ,60.67,38.3,59,9,9,8,,47.63,35.3249905,472.3164439,0.403004246,0.060977418
BA-2006,29,BA,NE,290020,2900207,Abaré,2,2006,1829,0,15273,0.0,0.0,33.06 ,48.0 ,60.67,38.3,59,9,9,8,,47.63,35.72478673,419.8433689,0.365744439,0.02244146
BA-2007,29,BA,NE,290020,2900207,Abaré,2,2007,1829,1,15514,6.4,6.4,33.06 ,48.0 ,60.67,38.3,59,9,8,9,,47.63,36.48672241,376.9883473,0.353689375,0.012400202
BA-2008,29,BA,NE,290020,2900207,Abaré,2,2008,1829,8,18362,43.6,43.6,33.06 ,48.0 ,60.67,38.3,59,9,9,8,,47.63,35.99475315,534.1860001,0.377055207,0.056857806
BA-2009,29,BA,NE,290020,2900207,Abaré,2,2009,1829,5,18830,26.6,26.6,33.06 ,48.0 ,60.67,38.3,59,9,10,10,,47.63,36.4138463,545.4183119,0.428093585,0.112965293
BA-2010,29,BA,NE,290020,2900207,Abaré,2,2010,1829,4,17064,23.4,23.4,26.85 ,21.8 ,46.3,11.2,47,16,11,10,,22.9,35.23539348,415.8702222,0.399606759,0.066341878
BA-2000,29,BA,NE,290030,2900306,Acajutiba,2,2000,1830,0,14322,0.0,0.0,30.38 ,37.3 ,62.4,30.3,15,6,,,,58.09,29.57025342,1311.104386,0.723126173,0.533192697
BA-2001,29,BA,NE,290030,2900306,Acajutiba,2,2001,1830,0,14439,0.0,0.0,30.38 ,37.3 ,62.4,30.3,15,6,,,,58.09,32.27549381,1026.444072,0.678228769,0.461741612
BA-2002,29,BA,NE,290030,2900306,Acajutiba,2,2002,1830,0,14622,0.0,0.0,30.38 ,37.3 ,62.4,30.3,15,6,,,,58.09,33.60325028,1113.102476,0.676280637,0.460302099
BA-2003,29,BA,NE,290030,2900306,Acajutiba,2,2003,1830,0,14763,0.0,0.0,30.38 ,37.3 ,62.4,30.3,15,6,,,,58.09,34.65074099,1156.294646,0.664589402,0.433840815
BA-2004,29,BA,NE,290030,2900306,Acajutiba,2,2004,1830,0,14900,0.0,0.0,30.38 ,37.3 ,62.4,30.3,15,6,,,,58.09,31.5887325,1096.572302,0.651330527,0.421356
BA-2005,29,BA,NE,290030,2900306,Acajutiba,2,2005,1830,0,15216,0.0,0.0,30.38 ,37.3 ,62.4,30.3,15,6,2,5,,58.09,34.24670297,1123.423157,0.624909825,0.378345529
BA-2006,29,BA,NE,290030,2900306,Acajutiba,2,2006,1830,0,15376,0.0,0.0,30.38 ,37.3 ,62.4,30.3,15,6,4,6,,58.09,30.77529,1239.023687,0.666467852,0.442951675
BA-2007,29,BA,NE,290030,2900306,Acajutiba,2,2007,1830,1,15533,6.4,6.4,30.38 ,37.3 ,62.4,30.3,15,6,6,7,3,58.09,30.28562212,1084.882334,0.672876496,0.477264154
BA-2008,29,BA,NE,290030,2900306,Acajutiba,2,2008,1830,3,15123,19.8,19.8,30.38 ,37.3 ,62.4,30.3,15,6,6,5,3,58.09,34.77426879,1122.653386,0.633759561,0.415876934
BA-2009,29,BA,NE,290030,2900306,Acajutiba,2,2009,1830,7,15192,46.1,46.1,30.38 ,37.3 ,62.4,30.3,15,6,7,8,2,58.09,33.21469022,1176.303529,0.647806447,0.427629652
BA-2010,29,BA,NE,290030,2900306,Acajutiba,2,2010,1830,7,14653,47.8,47.8,22.3 ,17.4 ,47.76,11.1,13,5,10,10,3,32.6,31.47327354,1119.300469,0.66703366,0.456713521
BA-2000,29,BA,NE,290035,2900355,Adustina,2,2000,1831,0,14302,0.0,0.0,45.5 ,66.2 ,58.88,57.3,69,7,,,,61.33,36.03258663,669.1131301,0.528058979,0.342456912
BA-2001,29,BA,NE,290035,2900355,Adustina,2,2001,1831,0,14470,0.0,0.0,45.5 ,66.2 ,58.88,57.3,69,7,,,,61.33,37.76995106,546.7814748,0.412528404,0.093402976
